zip,county,state,lat,lng
02043,Plymouth,MA,42.21678,-70.88494
02045,Plymouth,MA,42.28437,-70.88266
02047,Plymouth,MA,42.14582,-70.69603
02048,Bristol,MA,42.01626,-71.21868
02050,Plymouth,MA,42.11443,-70.71487
02052,Norfolk,MA,42.1848,-71.30501
02053,Norfolk,MA,42.15352,-71.42906
02054,Norfolk,MA,42.1693,-71.36261
02056,Norfolk,MA,42.11632,-71.32952
02061,Plymouth,MA,42.16075,-70.81772
02062,Norfolk,MA,42.18563,-71.19464
02066,Plymouth,MA,42.20129,-70.76155
02067,Norfolk,MA,42.10778,-71.18183
02071,Norfolk,MA,42.10392,-71.27002
02072,Norfolk,MA,42.1192,-71.10189
02081,Norfolk,MA,42.14689,-71.25916
02090,Norfolk,MA,42.22024,-71.21057
02093,Norfolk,MA,42.05129,-71.35522
02108,Suffolk,MA,42.35657,-71.06516
02109,Suffolk,MA,42.36498,-71.05277
02110,Suffolk,MA,42.35797,-71.05189
02111,Suffolk,MA,42.35067,-71.06054
02113,Suffolk,MA,42.36526,-71.05524
02114,Suffolk,MA,42.36337,-71.06686
02115,Suffolk,MA,42.34046,-71.09481
02116,Suffolk,MA,42.35105,-71.07638
02118,Suffolk,MA,42.33806,-71.07057
02119,Suffolk,MA,42.32405,-71.08522
02120,Suffolk,MA,42.33212,-71.09654
02121,Suffolk,MA,42.3057,-71.08693
02122,Suffolk,MA,42.29427,-71.05185
02124,Suffolk,MA,42.28583,-71.07114
